      xC  |      f(xC)
 0.491598  |     0.266771
 0.541800  |     0.210186
 0.592001  |     0.166560
 0.642202  |     0.128255
 0.621350  |     0.180957
 0.638405  |     0.140890
 0.677247  |     0.105667
 0.694053  |     0.093864
 0.774910  |     0.058198
 0.771502  |     0.052612
 0.843840  |     0.029075
 0.822347  |     0.032122
 0.843359  |     0.025367
 0.884420  |     0.019793
 0.858636  |     0.021152
 0.872721  |     0.018687
 0.886921  |     0.013504
 0.901121  |     0.009837
 0.943491  |     0.006790
 0.947098  |     0.004209
 0.950706  |     0.002667
 0.960774  |     0.001654
 0.993831  |     0.002522
 0.974786  |     0.001403
 0.977575  |     0.001012
 0.968598  |     0.000999
 0.975179  |     0.000696
 0.982654  |     0.000322
 0.990129  |     0.000099
 1.001395  |     0.000147
 1.001368  |     0.000030
 1.001342  |     0.000004
 0.999486  |     0.000005
 0.999009  |     0.000001
 1.003104  |     0.000011
 1.000272  |     0.000002
 1.000349  |     0.000000
 0.998563  |     0.000002
 0.999436  |     0.000000
 1.000111  |     0.000000
       xC  |        f(xC)
 0.500000  |  5256.500000
 0.500000  |  5256.500000
-1.250000  |  1102.328125
-1.250000  |  1102.328125
-0.593750  |   130.645298
 0.546875  |    62.814524
-0.027344  |    53.453010
-0.574219  |    81.167430
-0.546875  |     6.122172
-0.546875  |     6.122172
-0.198242  |     1.564536
-0.322998  |     3.784385
-0.179871  |     1.488770
-0.179871  |     1.488770
-0.179871  |     1.488770
-0.031670  |     1.117640
-0.031670  |     1.117640
-0.056844  |     1.118810
-0.030046  |     1.071093
 0.026798  |     0.977555
 0.100289  |     0.837890
 0.197125  |     0.694773
 0.146118  |     0.732742
 0.183511  |     0.671518
 0.231066  |     0.596954
 0.307481  |     0.489740
 0.355443  |     0.431685
 0.437958  |     0.318104
 0.557260  |     0.202582
 0.518494  |     0.254127
 0.554530  |     0.199508
 0.621142  |     0.145458
 0.687755  |     0.141229
 0.677381  |     0.112801
 0.718058  |     0.079853
 0.758736  |     0.058703
 0.799413  |     0.041159
 0.840363  |     0.057393
 0.809719  |     0.040393
 0.796905  |     0.041310
 0.809023  |     0.037058
 0.849353  |     0.024022
 0.915212  |     0.017833
 0.909475  |     0.010830
 0.960993  |     0.004190
 0.942377  |     0.003402
 0.958720  |     0.002057
 0.986860  |     0.000654
 0.998657  |     0.000029
 0.985723  |     0.000228
 1.003595  |     0.000370
 0.996658  |     0.000020
 1.000391  |     0.000002
 0.999991  |     0.000010
 0.995490  |     0.000027
 0.999066  |     0.000001
 1.002641  |     0.000010
 1.000412  |     0.000001
 0.999181  |     0.000001
 0.999989  |     0.000000
 1.000363  |     0.000001
       xC  |        f(xC)
 0.500000  |  6006.500000
 0.500000  |  6006.500000
-1.375000  |  1092.579102
-1.375000  |  1092.579102
-1.375000  |  1092.579102
 0.585938  |    75.977464
-0.029297  |    61.200854
-0.615234  |    88.208042
-0.585938  |     5.901570
-0.585938  |     5.901570
-0.212402  |     1.641752
-0.346069  |     3.909285
-0.192719  |     1.517672
 0.096359  |     1.003831
-0.014248  |     1.192336
 0.044618  |     0.920537
 0.044618  |     0.920537
 0.057787  |     0.888424
 0.131299  |     0.807141
 0.126090  |     0.778991
 0.186581  |     0.683211
 0.247072  |     0.626080
 0.297147  |     0.521434
 0.347221  |     0.445200
 0.286730  |     0.515068
 0.320281  |     0.462029
 0.377216  |     0.400751
 0.376201  |     0.389130
 0.412805  |     0.346762
 0.487535  |     0.279184
 0.505457  |     0.254705
 0.579173  |     0.262551
 0.555756  |     0.228329
 0.529592  |     0.221457
 0.554055  |     0.200629
 0.589048  |     0.169643
 0.624041  |     0.146628
 0.707959  |     0.095887
 0.721972  |     0.082101
 0.735985  |     0.071269
 0.761649  |     0.061975
